VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-01 00:00:22,2016-03-01 00:21:37,1,-73.87077331542967,40.77368927001953,1,N,-73.98858642578125,40.75933074951172,1,32.5,0.5,0.5,11.8,5.54,0.3,51.14
1,2016-03-01 00:00:23,2016-03-01 00:08:39,1,-73.9520492553711,40.71413040161133,1,N,-73.96796417236328,40.68948745727539,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8
2,2016-03-01 00:00:23,2016-03-01 00:15:48,1,-73.97259521484375,40.75608444213867,1,N,-73.95128631591797,40.810333251953125,1,15.5,0.5,0.5,2.0,0.0,0.3,18.8
1,2016-03-01 00:00:24,2016-03-01 00:10:20,1,-74.00594329833984,40.740352630615234,1,N,-73.97843933105469,40.73427581787109,1,9.0,0.5,0.5,1.0,0.0,0.3,11.3
2,2016-03-01 00:00:24,2016-03-01 00:35:29,1,-73.99005889892578,40.76193618774414,1,N,-73.85777282714845,40.743255615234375,1,34.5,0.5,0.5,0.0,0.0,0.3,35.8
1,2016-03-01 00:00:25,2016-03-01 00:03:54,1,-73.97267150878906,40.75598907470703,1,N,-73.98126220703125,40.742069244384766,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8
1,2016-03-01 00:00:25,2016-03-01 00:23:19,1,-73.97994995117188,40.74975204467773,1,N,-73.9496841430664,40.68077087402344,1,22.5,0.5,0.5,4.75,0.0,0.3,28.55
1,2016-03-01 00:00:25,2016-03-01 00:08:01,1,-73.98271942138672,40.74505615234375,1,N,-73.9718246459961,40.76203918457031,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55
1,2016-03-01 00:00:25,2016-03-01 00:12:16,1,-73.87252044677734,40.77450942993164,1,N,-73.95454406738281,40.74215316772461,1,19.0,0.5,0.5,4.06,0.0,0.3,24.36
2,2016-03-01 00:00:25,2016-03-01 00:14:45,1,-73.9895782470703,40.7205810546875,1,N,-73.9394989013672,40.79024124145508,1,16.5,0.5,0.5,2.0,0.0,0.3,19.8
1,2016-03-01 00:00:26,2016-03-01 00:04:54,1,-73.97259521484375,40.75928115844727,1,N,-73.97032928466798,40.75235366821289,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55
1,2016-03-01 00:00:26,2016-03-01 00:19:26,1,-74.0061264038086,40.742332458496094,1,N,-73.99109649658203,40.71963882446289,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3
2,2016-03-01 00:00:26,2016-03-01 00:16:58,1,-73.87443542480467,40.77402114868164,1,N,-74.00138854980467,40.72154998779297,2,27.5,0.5,0.5,0.0,0.0,0.3,28.8
2,2016-03-01 00:00:27,2016-03-01 00:07:37,4,-73.96793365478516,40.766998291015625,1,N,-73.98139190673827,40.768413543701165,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36
2,2016-03-01 00:00:27,2016-03-01 00:17:52,1,-73.87453460693358,40.774112701416016,1,N,-74.003662109375,40.715911865234375,1,29.0,0.5,0.5,6.06,0.0,0.3,36.36
